title,year,rating,description,genres
Boxxy,2024,10.0,"Boxxy is a cardboard box left by the roadside, full of dreams, watching the world in motion. One day, an unexpected push sets off a wild ride through obstacles and emotions — and from that moment, nothing will ever be the same.",
Stomachache,2025,10.0,"A woman over works herself to the point that she begins overeating, but, after eating uncooked food, she becomes grotesquely ill and unable to work properly",
The Men From Down Under,2025,10.0,Two Australian gangsters attempt to have a peaceful picnic but they soon become suspicious of each others actions and the would be peaceful getaway plunges into total madness.,
The Curse of the Al Simhara Mummy,2011,10.0,"An eccentric archaeologist named Simdiana Phones travels to the scorching sands of Al Simhara, Egypt, in search of a legendary sarcophagus said to belong to the world’s oldest cursed soul. Upon unsealing the tomb, Simdiana unwittingly unleashes a powerful mummy — setting off a frantic chase through ancient traps, catacombs, and inexplicably disco-lit corridors.",
Goblins: Are They Real?,2025,10.0,The following video shows the tragic tale of obsession gone too far. In the summer of 2023 three teens led by the Eclectic Eoin Reitman went on a daring expedition to prove his brothers death was at the hands of Goblins!,
America's Next Top Daddy Dom,2025,10.0,"Three daddy doms, found on craigslist, are looking for ""little girls"" (adults roleplaying as little girls). The three little girls ask their potential daddies questions to determine whether they can be their next daddy dom.",
On Palatine Hill,2025,10.0,"On Palatine Hill follows three brothers, Thomas, Caleb, and Adam, reuniting in their childhood home after the death of their father. Their father leaves behind the task of trekking into the woods and finding his hidden will, forcing the boys to reconcile with their past relationships with one another and what the future looks like for them, all while being haunted by their past relationships with their father.",
Howard,2025,10.0,"When two old college acquaintances meet up after years apart, it becomes clear that one of them has a beastly secret.",
What’s Yours Is Mine,2025,10.0,,
Off-Script,2025,10.0,"A couple are watching a horror film, however the main character in the film notices the camera. She gets out.",
De Leerkrachten,2025,10.0,,
Brian Piton : Joe Spectacle,,10.0,,
Mascamierdas,,10.0,"After 30 years without any progress from the authorities, a detective agency sets out to unravel the Mascamierdas case: a twisted serial killer who inexplicably ends entire families every December 13th.",
Clash For Cash,2023,10.0,"After the price of their streaming service increases, an eccentric group of thieves take it upon themselves to rob one of the least secure banks in the city.",
He Was Eighteen,2025,10.0,A boy sets out to have his first kiss.,
Hikes Of Darkness,2025,10.0,Documentary filmmaker Rupert Tothington chronicles the troubled production of famed director Maximillian Silverstein's latest feature film.,
Bacon Sandwiche(s),2025,10.0,"7 Insane, 1 Normal, all with multiple ideas. All have a project due to make a short film. Which idea gets picked? How crazy do they get? All we can tell you is that viewer discretion... is Heavily Advised.",
"The David Robert Pollock Show: Fear God, Die And Be Forgotten",2025,10.0,"David Robert Pollock is missing, loved ones have disappeared, and out of desperation the crew of The David Robert Pollock Show turn to the dark arts. As they say, the show must go on!",
Lazybones,2025,10.0,"After a devastating breakup, Moss Henry searches for a sense of purpose by volunteering as a dummy for a women's self-defense class.",
Camp Hardwood,,10.0,A group of horny dudes deal with their wood and a not so horny dude with an axe.,
A Latte To Change,2025,10.0,"A college outcast wakes up in an alternate reality where the campus crush is the outcast and he's the one who's popular, he must navigate twisted power dynamics and blurred truths to find his way back—only to discover that love, no matter how complicated, might be the key to it all.",
Divine Intervention,2025,10.0,"Late one night, a man and a woman are each sitting alone at a bar. Evelyn notices Joe and gives off signs of interest. Joe is mutually interested but chickens out from taking any action and Evelyn leaves. There’s nothing new about this scene. It has happened thousands of times and will happen thousands more.  But what if we could see the potential opportunities we cut off from ourselves when we chicken out of taking action? What if there was the possibility of a do-over? On this night, for Joe Montgomery, there is. An angel visits Joe and informs him how Evelyn would be a great match for him. Evelyn returns; and with an angel that only he can see as his wingman, Joe gets a second chance at a beautiful opportunity.",
THE STOP,2025,10.0,"A seemingly calm young man waits at a bus stop, listening to music. However, his peace is disrupted by oblivious passersby. Soon, they will realize that sometimes, it's important to pay attention to what's happening around them.",
Cody Hales - GLOBETOPIA (A Short Film),,10.0,"Hugh Jass has become Mayor of the glowing city of Globetopia, giving him the chance to bring his evil plans to life. Follow Cody as he attempts to stop Hugh Jass and save Globetopia from impending doom.",
Lamb To The Slaughter,2025,10.0,Based on a Roald Dahl Short Story.,
Tur De Zur,2025,10.0,Three best friends learn life-changing lessons at an awful house party.,
Rad Dude’s Guide to Love and Manhood,,10.0,"At a Valentine's Day party, Mikey Maverick has only one goal: To get as much attention as possible, no matter the cost. But when he begins to make the party hell on Earth for all involved, Mikey is forced to finally face his emotions head on.",
The Man with Glasses,2025,10.0,A new action-comedy by karim amini,
"Matilda, la Tremenda",2020,10.0,,
Rubbish Bouquet,2025,10.0,"When a college student leaves his rubbish behind, his whole day takes a strange turn.",
Une Histoire De Clope,2025,10.0,,
La Mafia,2025,10.0,"Straight out of Esnaola Music School, “El Fondo” brings a chaotic, low-budget take on the classic card game “Mafia.” It's thrilling, it's inventive... it's cinema.",
Mentiras: El Musical - 10 Años,2021,10.0,"Celebration of the tenth anniversary of the play Mentiras: El Musical premiered in streaming format.  The musical takes place during the eighties, where 4 women meet to discover something they have in common: they love the same man! The story unravels in the company of the greatest hits that marked several generations of Mexican music, television and cinema.",
Muppet*Vision 3D,1991,10.0,"The Muppets present a brand-new display of 3D film technology, bringing along their usual shenanigans and chaos.",
Annoying Roommates kept on taking advantage of Her but then She ... !!,2021,10.0,"Catherine, a small town girl moved into the city, while working at a 5-star hotel. Things go really bad for her when she finds out who her roommates truly are...",
V,2013,10.0,Lee Junghyun's 2013 music video directed by park chan-wook,
I Think My Dad's a Cyborg and I Think He Killed My Mum,,10.0,"A lonely year after his mother’s death, awkward hermit Peter is still no closer to his father, and he thinks he knows the reason why; a reason which he must confront at the family gathering before the secret spirals out of control...his dad MUST be a murderous cyborg.",
The Egg Bandit,2025,10.0,"A vicious bandit steals an absurd amount of eggs from the local grocery shops in Massachusetts. Once the police captures him, they discover there might be more to the story.. or are they just wasting their time by playing the bandits game?",
Uncle Floyd's New Jersey,2018,10.0,"A live-streamed documentary of Hackensack, New Jersey, involving the anecdotal encounters of comedy legend Floyd Vivino, better known as Uncle Floyd.",
Open Mic,,10.0,"At an open-mic party, Abigail strives to break her  boundaries with a new found connection she has made with a daring woman.",
popstar,2021,10.0,"A young singer dreaming of viral stardom finds herself torn between her pre and post-fame identities, leading herself down a path of certain destruction.",
The Head Returns,2020,10.0,"No one knows what is true. The last known surviving witness recalled a murderous dummy head commanded by a mysterious man in a dark trench coat. The original incident was initially considered to be the result of vivid hallucinations and mass insanity. But over the past 20 years, the doctor's research has led him to be a believer.",
